,title,score,img_url,year,nation,category
0,肖申克的救赎,9.7,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p480747492.webp,1994,美国,犯罪 剧情
1,霸王别姬,9.6,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.webp,1993,中国大陆 中国香港,剧情 爱情 同性
2,阿甘正传,9.5,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2372307693.webp,1994,美国,剧情 爱情
3,这个杀手不太冷,9.4,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p511118051.webp,1994,法国 美国,剧情 动作 犯罪
4,泰坦尼克号,9.4,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p457760035.webp,1997,美国 墨西哥 澳大利亚 加拿大,剧情 爱情 灾难
5,美丽人生,9.5,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2578474613.webp,1997,意大利,剧情 喜剧 爱情 战争
6,千与千寻,9.4,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.webp,2001,日本,剧情 动画 奇幻
7,辛德勒的名单,9.5,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p492406163.webp,1993,美国,剧情 历史 战争
8,盗梦空间,9.3,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2616355133.webp,2010,美国 英国,剧情 科幻 悬疑 冒险
9,忠犬八公的故事,9.4,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p524964039.webp,2009,美国 英国,剧情
10,星际穿越,9.3,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2614988097.webp,2014,美国 英国 加拿大,剧情 科幻 冒险
11,楚门的世界,9.3,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p479682972.webp,1998,美国,剧情 科幻
12,海上钢琴师,9.3,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2574551676.webp,1998,意大利,剧情 音乐
13,三傻大闹宝莱坞,9.2,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p579729551.webp,2009,印度,剧情 喜剧 爱情 歌舞
14,机器人总动员,9.3,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.webp,2008,美国,科幻 动画 冒险
15,放牛班的春天,9.3,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1910824951.webp,2004,法国 瑞士 德国,剧情 喜剧 音乐
16,无间道,9.3,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2564556863.webp,2002,中国香港,剧情 犯罪 惊悚
17,疯狂动物城,9.2,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2614500649.webp,2016,美国,喜剧 动画 冒险
18,大话西游之大圣娶亲,9.2,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.webp,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装
19,熔炉,9.3,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1363250216.webp,2011,韩国,剧情
20,教父,9.3,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p616779645.webp,1972,美国,剧情 犯罪
21,当幸福来敲门,9.1,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614359276.webp,2006,美国,剧情 传记 家庭
22,龙猫,9.2,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2540924496.webp,1988,日本,动画 奇幻 冒险
23,怦然心动,9.1,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p501177648.webp,2010,美国,剧情 喜剧 爱情
24,控方证人,9.6,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1505392928.webp,1957,美国,剧情 犯罪 悬疑
25,触不可及,9.3,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1454261925.webp,2011,法国,剧情 喜剧
26,蝙蝠侠：黑暗骑士,9.2,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p462657443.webp,2008,美国 英国,剧情 动作 科幻 犯罪 惊悚
27,末代皇帝,9.3,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p452089833.webp,1987,英国 意大利 中国大陆 法国,剧情 传记 历史
28,寻梦环游记,9.1,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614500706.webp,2017,美国,喜剧 动画 奇幻 音乐
29,活着,9.3,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2524040532.webp,1994,中国大陆 中国香港,剧情 历史 家庭
30,指环王3：王者无敌,9.3,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2642829472.webp,2003,美国 新西兰,剧情 动作 奇幻 冒险
31,乱世佳人,9.3,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.webp,1939,美国,剧情 历史 爱情 战争
32,何以为家,9.1,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2555295759.webp,2018,黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国,剧情
33,哈利·波特与魔法石,9.1,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614949805.webp,2001,美国 英国,奇幻 冒险
34,飞屋环游记,9.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p485887754.webp,2009,美国,剧情 喜剧 动画 冒险
35,素媛,9.3,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2118532944.webp,2013,韩国,剧情
36,摔跤吧！爸爸,9.0,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2401676338.webp,2016,印度,剧情 传记 运动 家庭
37,少年派的奇幻漂流,9.1,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1784592701.webp,2012,美国 中国台湾 英国 加拿大,剧情 奇幻 冒险
38,十二怒汉,9.4,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2173577632.webp,1957,美国,剧情
39,哈尔的移动城堡,9.1,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2174346180.webp,2004,日本,动画 奇幻 冒险
40,鬼子来了,9.3,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2553104888.webp,2000,中国大陆,剧情 喜剧
41,我不是药神,9.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561305376.webp,2018,中国大陆,剧情 喜剧
42,大话西游之月光宝盒,9.0,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2561721372.webp,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装
43,天空之城,9.1,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1446261379.webp,1986,日本,动画 奇幻 冒险
44,闻香识女人,9.1,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2550757929.webp,1992,美国,剧情
45,罗马假日,9.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2189265085.webp,1953,美国,喜剧 剧情 爱情
46,指环王2：双塔奇兵,9.1,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2640236255.webp,2002,美国 新西兰,剧情 动作 奇幻 冒险
47,猫鼠游戏,9.1,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p453924541.webp,2002,美国 加拿大,传记 犯罪 剧情
48,天堂电影院,9.2,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2653054340.webp,1988,意大利 法国,剧情 爱情
49,辩护人,9.2,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2158166535.webp,2013,韩国,剧情
50,指环王1：护戒使者,9.1,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2640234840.webp,2001,新西兰 美国,剧情 动作 奇幻 冒险
51,大闹天宫,9.4,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2184505167.webp,2004(中国大陆),中国大陆,动画 奇幻
52,钢琴家,9.2,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p792376093.webp,2002,英国 法国 波兰 德国 美国,剧情 传记 战争 音乐
53,狮子王,9.1,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2277799019.webp,1994,美国,动画 冒险 歌舞
